LMSL,Group,Group Stage,Match Number,Winner,Walkover,Best Of,Player 1 ID,Player 1 Name,Player 1 Score,Player 1 Flag,Player 1 Faction,Player 2 ID,Player 2 Name,Player 2 Score,Player 2 Flag,Player 2 Faction,Map 1 Game Number,Map 1 Map Name,Map 1 Winner Id,Map 1 Winner Faction,Map 1 Loser Id,Map 1 Loser Faction,Map 2 Game Number,Map 2 Map Name,Map 2 Winner Id,Map 2 Winner Faction,Map 2 Loser Id,Map 2 Loser Faction,Map 3 Game Number,Map 3 Map Name,Map 3 Winner Id,Map 3 Winner Faction,Map 3 Loser Id,Map 3 Loser Faction,Map 4 Game Number,Map 4 Map Name,Map 4 Winner Id,Map 4 Winner Faction,Map 4 Loser Id,Map 4 Loser Faction,Map 5 Game Number,Map 5 Map Name,Map 5 Winner Id,Map 5 Winner Faction,Map 5 Loser Id,Map 5 Loser Faction,Map 6 Game Number,Map 6 Map Name,Map 6 Winner Id,Map 6 Winner Faction,Map 6 Loser Id,Map 6 Loser Faction,Map 7 Game Number,Map 7 Map Name,Map 7 Winner Id,Map 7 Winner Faction,Map 7 Loser Id,Map 7 Loser Faction
01,A,GS1,1,2,,3,1,Sherpard,0,Peru,p,2,PingPongHero,2,United States,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,A,GS1,2,2,,3,1,Levver,0,Israel,z,2,Siisyphus,2,United States,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,A,GS1,3,1,,3,1,PingPongHero,2,United States,t,2,Siisyphus,0,United States,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,A,GS1,4,1,,3,1,Sherpard,2,Peru,p,2,Levver,1,Israel,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,A,GS1,5,1,,3,1,Siisyphus,2,United States,z,2,Sherpard,0,Peru,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,B,GS1,1,1,,3,1,ROY,2,Peru,p,2,Elegacy,0,Argentina,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,B,GS1,2,2,,3,1,Nonothing,1,United States,p,2,Darkblade,2,Canada,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,B,GS1,3,1,,3,1,ROY,2,Peru,p,2,Darkblade,0,Canada,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,B,GS1,4,1,,3,1,Elegacy,2,Argentina,p,2,Nonothing,1,United States,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,B,GS1,5,2,ff,3,1,Darkblade,-1,Canada,t,2,Elegacy,-1,Argentina,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,C,GS1,1,1,,3,1,Pee_and_keele,2,United States,t,2,Darkimal,0,United States,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,C,GS1,2,1,,3,1,Stichtom,2,Germany,p,2,Bob,0,United States,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,C,GS1,3,1,,3,1,Pee_and_keele,2,United States,t,2,Stichtom,0,Germany,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,C,GS1,4,2,ff,3,1,Darkimal,-1,United States,t,2,Bob,-1,United States,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,C,GS1,5,1,,3,1,Stichtom,2,Germany,p,2,Bob,0,United States,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,D,GS1,1,2,,3,1,JamesBaxter,0,United States,z,2,HellbatKinG,2,United States,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,D,GS1,2,2,,3,1,EternalFear,0,United States,t,2,CPPmaster,2,United States,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,D,GS1,3,2,,3,1,HellbatKinG,1,United States,t,2,CPPmaster,2,United States,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,D,GS1,4,1,,3,1,JamesBaxter,2,United States,z,2,EternalFear,0,United States,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,D,GS1,5,1,,3,1,HellbatKinG,2,United States,t,2,JamesBaxter,0,United States,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,E,GS1,1,2,ff,3,1,Nemethil,-1,United States,t,2,Wizzer,-1,United States,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,E,GS1,2,1,,3,1,CowboyDan,2,United States,t,2,Clip,0,United States,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,E,GS1,3,2,,3,1,Wizzer,0,United States,z,2,CowboyDan,2,United States,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,E,GS1,4,2,ff,3,1,Nemethil,-1,United States,t,2,Clip,-1,United States,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,E,GS1,5,1,ff,3,1,Wizzer,-1,United States,z,2,Clip,-1,United States,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,F,GS1,1,1,,3,1,Mia,2,United States,t,2,Drink,0,United States,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,F,GS1,2,2,,3,1,James,0,United States,p,2,AntahoNy,2,United States,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,F,GS1,3,2,,3,1,Mia,1,United States,t,2,AntahoNy,2,United States,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,F,GS1,4,2,,3,1,Drink,0,United States,t,2,James,2,United States,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,F,GS1,5,2,ff,3,1,Mia,-1,United States,t,2,James,-1,United States,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,G,GS1,1,2,ff,3,1,Anh,-1,United States,t,2,CaptBritain,-1,Philippines,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,G,GS1,2,2,,3,1,Spyda,0,United States,p,2,Whitelinker,2,France,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
